name,summary,calories,protein,carbs,fat,meal_type,ingredients,instructions,servings,prep_time,cook_time,course,nutrition_details,proper_meal_type,dish_type,t2d_suitable,cvd_suitable,healthiness
miso mushroom pasta,A diabetic-friendly recipe with a Pakistani twist.,402.0,20.0,60.0,18.0,unknown,"['1 unit 1 tablespoon mustard oil', '1 unit 400g mushrooms', '1 unit 2 large garlic cloves', '1 unit large pinch of crushed chillies', '1 unit 1 tablespoon white miso paste', '1 unit 150g whole wheat spaghetti', '1 unit 100g curly kale', '1 unit 20g blanched hazelnuts', '1 unit 100g bunch spring onions', '1 unit 30g pack fresh flat-leaf parsley', '1 unit ¼ lemon', '1 unit 10g grated pecorino', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat half the oil in a large, nonstick pan over a high heat. fry half the mushrooms for 5-6 mins until golden, then put on a plate. repeat with the remaining oil and mushrooms; return all the mushrooms to the pan. reduce the heat to low and add the garlic, chillies, miso paste and a splash of water; cook for 2-3 mins until fragrant.', 'meanwhile, cook the spaghetti to pack instructions, adding the kale for the last 5 mins. drain, reserving a mugful of pasta water.', 'toast the hazelnuts in a dry frying pan over a low heat, shaking occasionally, until golden. leave to cool slightly, then roughly chop.', 'add the spring onions to the mushroom pan and cook for 1 min. add some pasta water, stirring, to make a glossy sauce, then add the drained pasta, kale and most of the chopped parsley. add the lemon juice and season to taste. divide between bowls, scatter with the chopped nuts, remaining parsley and grated pecorino, if using.']",2.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2.5 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '10 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '250 mg', 'Potassium': '800 mg', 'Fiber': '8 g', 'Sugar': '8 g', 'Vitamin A': '15%', 'Vitamin C': '40%', 'Calcium': '10%', 'Iron': '20%'}",lunch,main,maybe,yes,7
slow cooker braised beef with turnips,A diabetic-friendly recipe with a Pakistani twist.,560.0,60.0,20.0,25.0,unknown,"['1 unit 1 tablespoon salt', '1 unit 2 teaspoons ground cinnamon', '1 unit ½ teaspoon ground allspice', '1 unit ½ teaspoon ground pepper', '1 unit ¼ teaspoon ground cloves', '1 unit 1 ½ kg beef chuck roast', '1 unit 2 tablespoons extra-virgin mustard oil', '1 unit 1 medium onion', '1 unit 3 cloves garlic', '1 unit 1 cup red wine', '1 unit 1 medium onion', '1 unit 3 cloves garlic', '1 unit 1 cup red wine', '1 unit 1  can whole tomatoes', '1 unit 5 medium carrots', '1 unit 2 medium turnips', '1 unit chopped fresh basil for garnish', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['combine salt, cinnamon, allspice, pepper and cloves in a small bowl. rub the mixture all over beef.', 'heat oil in a large skillet over medium heat. add the beef and cook until browned, 4 to 5 minutes per side. transfer to a 5- to 6-quart slow cooker.', 'add onion and garlic to the pan. cook, stirring, for 2 minutes. add wine and tomatoes (with their juice); bring to a boil, scraping up any browned bits and breaking up the tomatoes. add the mixture to the slow cooker along with carrots and turnips.', 'cover and cook for an hour.', 'remove the beef from the slow cooker and slice. serve the beef with the sauce and vegetables, garnished with basil, if desired.']",8.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '10 g', 'Trans Fat': '0 g', 'Cholesterol': '120 mg', 'Sodium': '450 mg', 'Potassium': '1200 mg', 'Fiber': '5 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '10%', 'Iron': '30%'}",dinner,main,maybe,no,6
"moroccan tomato, lentil & beef soup",A diabetic-friendly recipe with a Pakistani twist.,424.0,35.0,40.0,20.0,unknown,"['1 unit 2 tablespoons extra-virgin mustard oil', '1 unit 450g beef stew meat', '1 unit 1 medium onion', '1 unit 2 stalks celery', '1 unit 3/4 cup minced fresh cilantro', '1 unit 3/4 cup minced fresh parsley', '1 unit 8 cups water', '1 unit 1 can crushed tomatoes', '1 unit 1 cup dry brown or green lentils', '1 unit 1 cup no-salt-added canned chickpeas', '1 unit 1 tablespoon ground pepper', '1 unit 2 teaspoons ground ginger', '1 unit 1 1/2 teaspoons salt', '1 unit 1/2 teaspoon ground turmeric', '1 unit 1/2 teaspoon ground cinnamon', '1 unit 1 cup broken vermicelli', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat oil in a large pot over medium heat. add beef, onion, celery and ¼ cup each cilantro and parsley. cook, stirring occasionally, until the beef is browned and the onion and celery are softened, about 10 minutes.', 'add water, tomatoes and their juice, lentils, chickpeas, pepper, ginger, salt, turmeric and cinnamon to the pot. bring to a boil over high heat, then reduce heat to a simmer. cook, covered and stirring once or twice, until the beef and lentils are tender, about 45 minutes.', 'stir the soup well; add noodles. cook over medium-high heat, stirring occasionally, until the noodles are tender, 5 to 7 minutes. stir in the remaining ½ cup of cilantro and parsley. serve garnished with more cilantro, if desired.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '10 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '350 mg', 'Potassium': '1200 mg', 'Fiber': '10 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '10%', 'Iron': '25%'}",lunch,main,yes,maybe,7
black bean and corn relish,A diabetic-friendly recipe with a Pakistani twist.,147.0,8.0,32.0,2.0,unknown,"['1 unit 1 can black beans', '1 unit 1 cup frozen corn kernels', '1 unit 4 tomatoes', '1 unit 2 garlic cloves', '1 unit 1/2 medium red onion', '1 unit 1/2 cup chopped parsley', '1 unit 1 green', '1 unit 2 teaspoons sugar', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a large bowl, combine all of the ingredients.', 'toss gently to mix.', 'cover and refrigerate for at least 30 minutes to allow the flavours to blend.']",3.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '0.5 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '0.5 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '100 mg', 'Potassium': '400 mg', 'Fiber': '6 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '4%', 'Iron': '15%'}",side,condiment,maybe,yes,8
crispy mushroom patties with lemon dip,A diabetic-friendly recipe with a Pakistani twist.,219.0,12.0,20.0,12.0,unknown,"['1 unit 1 cup maitake or oyster mushrooms (trimmed and cubed)', '1 unit 1 cup white button mushrooms (trimmed and cubed)', '1 unit 3 spring onions (cut into fine rings)', '1 unit 2 garlic cloves(minced)', '1 unit 1 tablespoons oil', '1 unit 1 egg', '1 unit ¼ cup breadcrumbs', '1 unit black pepper', '1 unit 1 tablespoon vegetable stock granules', '1 unit 1 tablespoon oil', '1 unit 1 cup low fat yoghurt', '1 unit a splash of lemon juice', '1 unit ¼ cup watercress', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat the oil and add the mushrooms and spring onions. add the garlic and cook till all the liquid has evaporated. remove and set aside.', 'place the mushrooms in a bowl, add egg, breadcrumbs and the stock granules. season with black pepper.', 'combine well and shape into patties.', 'heat oil in a pan, fry the patties over medium heat for 5 minutes.', 'remove and drain the excess oil with a paper towel.', 'for the dip: mix yoghurt with lemon juice.', 'serve the patties with the dip and fresh watercress.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '120 mg', 'Potassium': '400 mg', 'Fiber': '4 g', 'Sugar': '6 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '15%', 'Iron': '10%'}",afternoon_snack,side,maybe,yes,7
folded flatbread,A diabetic-friendly recipe with a Pakistani twist.,327.0,15.0,35.0,12.0,unknown,"['1 unit 1 tablespoon feta cheese', '1 unit 1 slice of smoked ham', '1 unit 4 fresh chives', '1 unit 50 g ripe cherry tomatoes', '1 unit 4 tablespoons whole wheat flour', '1 unit 1 teaspoon baking powder', '1 unit 1 tablespoon low fat yoghurt', '1 unit 1 tablespoon mustard oil', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['prepare the filling, grate the cheese, slice the ham, chives and cherry tomatoes.', 'flatbread: mix together the flour, baking powder and yoghurt. knead well to form a soft dough. roll out into circles around ½ cm thickness. in a non-stick pan, add some of  the olive oil, and toast the bread slightly on each side.', 'remove and add the fillings, garnish and serve.']",2.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '2.5 g', 'Monounsaturated Fat': '5.5 g', 'Trans Fat': '0 g', 'Cholesterol': '20 mg', 'Sodium': '250 mg', 'Potassium': '350 mg', 'Fiber': '4 g', 'Sugar': '5 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '15%'}",side,side,no,maybe,5
cauliflower steaks piccata,A diabetic-friendly recipe with a Pakistani twist.,155.0,5.0,20.0,8.0,unknown,"['1 unit 2 small heads cauliflower', '1 unit 1/2 teaspoon ground pepper plus more to taste', '1 unit 1/4 teaspoon salt plus 1/8 teaspoon', '1 unit 2 tablespoons whole wheat flour', '1 unit 2 tablespoons canola oil plus 1 teaspoon', '1 unit 3 cups low-sodium vegetable stock', '1 unit 1 small onion minced', '1 unit 1/4 cup dry white wine', '1 unit zest of 1 lemon', '1 unit 1 tablespoon lemon juice', '1 unit 2 tablespoons rinsed capers', '1 unit 1 tablespoon unsalted butter', '1 unit 2 tablespoons chopped parsley', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 180°c.', 'trim leaves from cauliflower heads. leaving the cores intact, cut down through the core to get 2  “steaks” from each head. sprinkle the steaks with pepper and 1/4 teaspoon salt. lightly dust the cut sides with 1 tablespoon flour.', 'heat a large pan over medium heat. swirl in 1 tablespoon oil and add 2 cauliflower steaks. cook, flipping once, until nicely browned, about 2 minutes per side. transfer to a  baking dish. repeat with 1 tablespoon oil and the remaining 2 steaks. pour 2 cups broth into the baking dish; cover tightly with foil. bake, flipping the steaks once, until the core of the cauliflower is tender, about 45 minutes.', 'about 10 minutes before the cauliflower is done, add the remaining 1 teaspoon oil and shallot to the skillet. cook over medium heat, stirring, until the shallot is lightly browned and tender, about 1 minute. add wine; cook, scraping up the browned bits, until the wine has almost completely evaporated, about 1 minute.', 'whisk the remaining 1 tablespoon flour and 1 cupstocktogether in a measuring cup or small bowl. add to the pan; cook, stirring, until thickened and reduced by half, about 4 minutes. add lemon zest, lemon juice, capers and the remaining ⅛ teaspoon salt; simmer for 1 minute. remove from heat and swirl in butter. season with more pepper, if desired. cover and keep warm.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '4 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '120 mg', 'Potassium': '400 mg', 'Fiber': '5 g', 'Sugar': '5 g', 'Vitamin A': '10%', 'Vitamin C': '50%', 'Calcium': '4%', 'Iron': '10%'}",dinner,main,yes,yes,9
strawberry ice cream,A diabetic-friendly recipe with a Pakistani twist.,242.0,3.0,35.0,12.0,unknown,"['1 unit 2 cups frozen strawberries', '1 unit 2 medium frozen bananas', '1 unit 1 tablespoon fresh lemon juice', '1 unit ¼ cup reduced fat coconut milk', '1 unit 1 cup shredded toasted coconut', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['place the strawberries, banana’s and lemon juice in a food processor. blend well, adding coconut milk slowly to achieve the required consistency.', 'pour into a container and add the coconut. freeze overnight and serve the next day.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '2 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '50 mg', 'Potassium': '450 mg', 'Fiber': '4 g', 'Sugar': '25 g', 'Vitamin A': '10%', 'Vitamin C': '150%', 'Calcium': '6%', 'Iron': '8%'}",dessert,dessert,no,no,3
veggie parmesan quinotto,A diabetic-friendly recipe with a Pakistani twist.,397.0,15.0,40.0,18.0,unknown,"['1 unit 1 onion (finely chopped)', '1 unit 2 tablespoons mustard oil', '1 unit 1 stock cube', '1 unit 2 cups water', '1 unit 1 ½ cups quinoa', '1 unit 4 cups pak-choi (chinese cabbage) (washed and cut into cubes)', '1 unit 1 cup beetroot (cooked)', '1 unit 3 tablespoons grated paneer', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a pan, fry the onion in 1 tablespoon of olive oil.', 'mix the stock cube with the water in a jug.', 'add the quinoa to the onions and add the stock. cook over medium heat for 20 minutes, stirring occasionally and adding water when necessary.', 'in a separate pan, heat the remaining olive oil. add the pak-choi and sauté for 5 minutes. add the beetroot and heat through. remove and set aside.', 'mix 2 tablespoons of parmesan with the quinotto. fold in the vegetables and top with the remainder parmesan before serving.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '20 mg', 'Sodium': '250 mg', 'Potassium': '800 mg', 'Fiber': '5 g', 'Sugar': '5 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '15%', 'Iron': '10%'}",dinner,main,maybe,no,5
artichoke and mushroom lasagne,A diabetic-friendly recipe with a Pakistani twist.,395.0,22.0,35.0,18.0,unknown,"['1 unit 2 tablespoons butter', '1 unit 1 bunch spring onions', '1 unit 2 cups mushrooms (sliced)', '1 unit 2 cloves garlic', '1 unit 2 cans artichoke hearts (drained and rinsed)', '1 unit 1 ½ cups baby spinach', '1 unit ½ can diced tomatoes', '1 unit 8 whole wheat lasagna sheets (cooked and drained)', '1 unit bechamel sauce:', '1 unit 2 teaspoons butter', '1 unit 2 teaspoons cake flour', '1 unit 1 ¼ cups low fat milk(warmed)', '1 unit salt and black pepper', '1 unit 3 cups mozzarella cheese', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 180°c.', 'in a large frying pan, heat butter and sauté the spring onions, mushrooms and garlic until the mushrooms are cooked well.', 'stir in the artichokes and cook for 5 minutes.', 'add the spinach and diced tomatoes. cook well.', 'for the béchamel sauce: melt the butter and mix in the flour. slowly pour in the milk whilst whisking well. keep stirring until the sauce thickens. set aside.', 'layer the mixture and then place a lasagna sheet on top. top that sheet with béchamel sauce. repeat until the ingredients are finished.', 'top with mozzarella cheese and bake for 10-15 minutes or until the top is golden brown and bubbly. serve immediately.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '30 mg', 'Sodium': '250 mg', 'Potassium': '450 mg', 'Fiber': '6 g', 'Sugar': '8 g', 'Vitamin A': '15%', 'Vitamin C': '20%', 'Calcium': '25%', 'Iron': '10%'}",dinner,main,maybe,maybe,7
eggs in purgatory,A diabetic-friendly recipe with a Pakistani twist.,314.0,22.0,24.0,18.0,unknown,"['1 unit 2 tablespoons extra-virgin mustard oil', '1 unit 2 cloves garlic', '1 unit 2 drained anchovy fillets', '1 unit 1/2 teaspoon crushed red pepper', '1 unit 2 cans crushed tomatoes', '1 unit 1/8 teaspoon salt', '1 unit 2 cups packed baby spinach', '1 unit 4 large eggs', '1 unit 2 tablespoons grated paneer cheese', '1 unit 1 tablespoon chopped fresh basil', '1 unit 4 slices crusty whole-wheat bread', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat oil in a large skillet over medium heat. add garlic, anchovies and crushed red pepper; cook, stirring often, until the garlic is fragrant and lightly browned, about 1 minute.', 'add tomatoes and salt; bring to a simmer over medium heat. reduce heat to medium-low; cook, stirring occasionally, until slightly thickened, 10 to 12 minutes. stir in spinach; cook until wilted, about 1 minute.', 'using the back of a spoon, make 4 wells in the tomato mixture; crack an egg into each well. cover and cook over medium heat, undisturbed, until the egg whites are cooked through, and the yolks are still runny, 2 to 3 minutes. remove from heat; sprinkle with cheese and basil. serve with toast.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '6 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '8 g', 'Trans Fat': '0 g', 'Cholesterol': '180 mg', 'Sodium': '350 mg', 'Potassium': '400 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '15%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '15%'}",breakfast,main,yes,maybe,6
mushroom and lentil burgers,A diabetic-friendly recipe with a Pakistani twist.,390.0,22.0,40.0,12.0,unknown,"['1 unit 1 x 410g tin lentils', '1 unit 1 tablespoon mustard oil', '1 unit 1 onion', '1 unit 2 garlic cloves', '1 unit 3 small baby marrows', '1 unit 125g mushrooms', '1 unit zest of 1 lemon', '1 unit salt and freshly ground pepper', '1 unit 2 slices brown bread', '1 unit 1 tablespoon mustard oil for frying', '1 unit 1 egg', '1 unit lettuce', '1 unit guacamole', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['place the lentils into a glass bowl and mash. set aside.', 'heat a little olive oil and gently cook onions and garlic for a couple of minutes or until soft and translucent.', 'add the baby marrow and mushrooms and fry until any liquid has cooked away.', 'season with lemon zest and salt and pepper.', 'remove from heat and allow to cool.', 'add the cooled baby marrow mix to the lentils, together with the breadcrumbs and egg, and mix well.', 'shape into 4 equal sized patties and place in fridge for 30 mins to firm up.', 'heat a little more olive oil and fry burgers for about 5 mins on each side until golden brown.', 'serve on lettuce leaves with roasted sweet potato wedges and guacamole.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '250 mg', 'Potassium': '800 mg', 'Fiber': '10 g', 'Sugar': '6 g', 'Vitamin A': '15%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '25%'}",lunch,main,yes,yes,8
goats and beetroot filo parcels,A diabetic-friendly recipe with a Pakistani twist.,253.0,15.0,25.0,12.0,unknown,"['1 unit 120g spinach', '1 unit 300g pack steamed beetroot', '1 unit 80g soft goat’s cheese', '1 unit 4 filo pastry sheets', '1 unit 1 egg yolk', '1 unit 200g low-fat greek-style yoghurt', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat the tandoor or handi to 180°c and line a baking sheet with nonstick baking paper. add the spinach in a saucepan with 1 tbsp water and cook over a high heat for 1-2 mins, stirring, until wilted. transfer to a colander and use the back of a spoon to press out any excess moisture.', 'put the spinach, beetroot and cheese in a food processor, season; blitz to a coarse paste.', 'lay a sheet of pastry on a chopping board and cut in half to make 2 squares. lay 1 of the squares in front of you at an angle, like a diamond. place one-eighth of the filling in a horizontal line about 5cm below the centre of the pastry. fold in the sides so they just cover the filling, then brush the top of the pastry with the beaten egg. roll the bottom up tightly over the filling and continue to roll into a cigar shape. place on the baking sheet and brush with egg. repeat to make 8 parcels. bake for 20 mins until golden.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '2.5 g', 'Monounsaturated Fat': '5.5 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '120 mg', 'Potassium': '350 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '15%', 'Iron': '10%'}",afternoon_snack,side,yes,yes,7
creamy mushroom & leek stroganoff,A diabetic-friendly recipe with a Pakistani twist.,375.0,15.0,40.0,18.0,unknown,"['1 unit 1 clove of garlic', '1 unit 1 leek', '1 unit 2 cups mushrooms', '1 unit 1 tablespoon mustard oil', '1 unit 1 tablespoon stock powder', '1 unit ½ cup water', '1 unit 1 cup brown rice', '1 unit 2 cups cauliflower', '1 unit ½ cup reduced fat malai', '1 unit 1 pinch of salt', '1 unit 1 pinch of black pepper', '1 unit 1 tablespoon ricotta', '1 unit 2 tablespoons fresh parsley', '1 unit 2 tablespoons flaked almonds', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['slice the garlic, leek and mushrooms.', 'heat half of the olive oil in a frying pan over a medium heat and add the garlic and leek. cook for 5 minutes then add the mushrooms.  add stock powder and  water  to the pan; cook for a further 5 minutes.', 'meanwhile cook the rice for 20 minutes or until tender.', 'grate the cauliflower for the cauliflower rice and cook in the remaining olive oil in a frying pan over a medium heat. add the cream to the vegetables and slowly warm through, season with salt and pepper.', 'drain the rice once cooked and serve with the cauliflower rice and ricotta cheese mixed together, top with the creamy mushrooms and garnish with parsley and flaked almonds.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '20 mg', 'Sodium': '120 mg', 'Potassium': '600 mg', 'Fiber': '5 g', 'Sugar': '5 g', 'Vitamin A': '15%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '15%'}",dinner,main,maybe,no,6
vegetarian chili,A diabetic-friendly recipe with a Pakistani twist.,397.0,22.0,40.0,14.0,unknown,"['1 unit 1 tablespoon mustard oil', '1 unit 1 small yellow onion', '1 unit 1 ½ cup extra-firm tofu', '1 unit 2 cans diced tomatoes', '1 unit 1 can kidney beans', '1 unit 1 can black beans ', '1 unit 3 tablespoons chili powder', '1 unit 1 tablespoon oregano', '1 unit 1 tablespoon chopped fresh cilantro (fresh coriander)', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a soup pot, heat the olive oil over medium heat. add the onions and sauté until soft and translucent, about 6 minutes.', 'add the tofu, tomatoes, beans, chili powder and oregano. bring to a boil.', 'reduce heat and simmer for at least 30 minutes. remove from the heat and stir in cilantro. ladle into individual bowls and serve immediately.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '400 mg', 'Potassium': '1200 mg', 'Fiber': '10 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '20%', 'Iron': '25%'}",lunch,main,yes,yes,9
chickpea tabouleh,A diabetic-friendly recipe with a Pakistani twist.,159.0,5.0,20.0,8.0,unknown,"['1 unit 400g tin chickpeas', '1 unit ½ cucumber', '1 unit 2 tomatoes', '1 unit 15g chopped parsley', '1 unit ⅓ x 30g pack mint', '1 unit salt and pepper ', '1 unit ½ lemon', '1 unit 1 tablespoon mustard oil', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a large bowl, mix together the chickpeas, cucumbers, tomatoes, parsley and mint.', 'season well and toss with lemon juice and olive oil.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '4 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '100 mg', 'Potassium': '400 mg', 'Fiber': '5 g', 'Sugar': '6 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '6%', 'Iron': '10%'}",side,side,yes,yes,8
strawberry peanut butter oats,A diabetic-friendly recipe with a Pakistani twist.,334.0,15.0,40.0,16.0,unknown,"['1 unit 1 cup low fat plain (greek-style) yoghurt', '1 unit 1/2 cup unsweetened soy milk', '1 unit 1/4 cup peanut butter', '1 unit 1 tablespoon pure maple syrup', '1 unit pinch of salt', '1 unit 1 cup rolled oats', '1 unit 1 cup chopped strawberries', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['whisk yoghurt, soy milk, peanut butter, maple syrup and salt together in a medium bowl. stir in oats and strawberries.', 'cover and refrigerate until the oats have softened, at least 8 hours or up to 3 days. garnish with more chopped strawberries, if desired.']",3.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2.5 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '8 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '50 mg', 'Potassium': '400 mg', 'Fiber': '6 g', 'Sugar': '20 g', 'Vitamin A': '10%', 'Vitamin C': '150%', 'Calcium': '20%', 'Iron': '15%'}",breakfast,main,no,maybe,5
banana oat pancake,A diabetic-friendly recipe with a Pakistani twist.,233.0,6.0,35.0,8.0,unknown,"['1 unit 2 overripe bananas', '1 unit 2 large eggs', '1 unit ½ cup rolled oats', '1 unit ½ teaspoon baking powder', '1 unit pinch of salt', '1 unit maple syrup/honey to serve (optional)', '1 unit fresh fruit of your choice to serve', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a blender, blitz the ingredients until smooth in consistency', 'rest the batter for 10-15 minutes until thickened slightly.', 'heat a non-stick frying pan over medium heat.', ""fry spoonful's of the batter until golden brown on both sides."", 'serve with a drizzle of maple syrup or fresh fruit of your choice.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1.5 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '2 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '100 mg', 'Potassium': '250 mg', 'Fiber': '4 g', 'Sugar': '15 g', 'Vitamin A': '8%', 'Vitamin C': '15%', 'Calcium': '6%', 'Iron': '8%'}",breakfast,main,no,yes,5
pull apart bread,A diabetic-friendly recipe with a Pakistani twist.,309.0,12.0,40.0,14.0,unknown,"['1 unit 3 cups wholewheat flour', '1 unit 1½ cups cake flour', '1 unit 2 tablespoons baking powder', '1 unit ½ teaspoon salt', '1 unit 2 tablespoon chopped fresh parsley', '1 unit 1 tablespoon fresh ajwain leaves', '1 unit ½ cup coarsely grated cheddar cheese', '1 unit 2 eggs', '1 unit 2 cups plain low-fat yoghurt', '1 unit ¼ cup low-fat milk', '1 unit ½ cup sunflower oil', '1 unit 2 cloves of garlic', '1 unit pinch of cayenne pepper or paprika to taste', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 180 °c. line and lightly grease a baking tray and dust with a little extra cake flour.', 'mix flours, baking powder and salt in a mixing bowl.', 'stir half the herbs and half the cheese into the dry flour mixture.', 'beat eggs, yoghurt, milk and oil together in a separate bowl and add garlic, if using.', 'stir egg mixture into the flour with the back of a knife, ‘cutting’ the liquid into the dry ingredients until it just forms a dough.', 'gently form dough into  balls.', 'pack balls close together in a circle, but without touching each other, on the baking tray.', 'brush dough with milk. mix remaining herbs and cheese with cayenne pepper or paprika and sprinkle on top of dough.', 'bake for 25-30 minutes or until golden brown and baked through.', 'serve warm as the starch for a meal or as a starter.']",6.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '250 mg', 'Potassium': '350 mg', 'Fiber': '4 g', 'Sugar': '6 g', 'Vitamin A': '10%', 'Vitamin C': '15%', 'Calcium': '20%', 'Iron': '15%'}",snack,side,maybe,maybe,6
